PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
K4Asm,8/2r1kpbp/6p1/p2R4/4P3/P4P2/P2K2PP/1R6 w - - 6 29,d5a5 g7c3 d2d3 c3a5,964,93,95,670,advantage endgame fork master short,https://lichess.org/7jsj7lWi#57,
5ehR7,8/8/1P5R/3p2p1/2p5/2P3kP/4r1b1/5RK1 w - - 2 47,f1b1 g2e4 g1f1 e2f2 f1e1 e4b1,2175,80,86,70,crushing endgame exposedKing long,https://lichess.org/Ab3oG8ex#93,
7FuUX,6k1/6p1/1NrRp3/1pP1Pn2/pP6/K7/P7/8 b - - 3 51,f5d6 e5d6 g8f7 b6d7,2249,80,52,127,crushing defensiveMove endgame short,https://lichess.org/YUPwt8AO/black#102,
xpO0v,8/8/3k1p2/6p1/3KP1P1/8/8/8 w - - 6 58,d4e3 d6e5 e3f3 e5d4,1142,85,93,1331,crushing endgame master pawnEndgame short zugzwang,https://lichess.org/oP74QCq4#115,
x9sRq,4r1k1/1p3pp1/p6p/2PNn3/1P4n1/P2Q1N1q/5P2/1BR3K1 w - - 3 23,f3e5 h3h2 g1f1 h2f2,1175,76,99,1239,fork mate mateIn2 middlegame short,https://lichess.org/BOKKFTzu#45,
93ZfI,1q2k1nr/1rp2pb1/3p3p/1N4p1/P1Q1Ppb1/5N2/2PB2PP/1R2K2R b Kk - 3 16,g4f3 b5d6 c7d6 c4c6 e8f8 b1b7,2136,75,94,5346,advantage long middlegame sacrifice,https://lichess.org/j5mIVRW8/black#32,Vienna_Gambit_with_Max_Lange_Defense Vienna_Gambit_with_Max_Lange_Defense_Pierce_Gambit
PtmBY,r5k1/4bppp/2R1p3/BN1p4/3PnP2/8/p5PP/5RK1 w - - 0 23,f1c1 a8a5 c6c8 e7f8,1260,84,81,58,crushing hangingPiece middlegame short,https://lichess.org/QiFCRnfv#45,
t9v71,5k2/5P1b/5K2/3pP3/8/1p6/8/8 b - - 1 54,b3b2 e5e6 d5d4 e6e7,679,84,40,57,advancedPawn bishopEndgame endgame mate mateIn2 short,https://lichess.org/6aP68roy/black#108,
4AMsb,8/p1p1bk2/q7/4Q1pP/8/1bP1P3/1P3PP1/1NKR4 w - - 6 40,d1d2 a6f1 d2d1 f1d1,1086,88,69,76,endgame mate mateIn2 short,https://lichess.org/Pb2cG1Dj#79,
ydrYp,8/1p5k/7R/p4Pp1/n1P5/P3qPK1/8/Q7 b - - 0 35,h7h6 a1h8,1606,83,91,3918,endgame mate mateIn1 oneMove,https://lichess.org/nwUDYVbn/black#70,
